game_id,ply,move_number,side_to_move,move_uci,piece_type,from_square,to_square,promotion,evaluation,depth,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,search_algorithm,evaluation_version,used_opening_book,fen_after
20260421_121823_g1,31,16,Black,d6e5,King,d6,e5,,100,8,370704,120217,180611,48548,456.217,MinimaxAB,Baseline_Evaluator,False,3b4/8/2P5/4k3/2K4p/7P/6B1/8 w - - 23 16
20260421_121823_g1,32,16,White,c4d3,King,c4,d3,,100,8,245510,86051,106265,37569,336.378,MinimaxAB,Baseline_Evaluator,False,3b4/8/2P5/4k3/7p/3K3P/6B1/8 b - - 24 17
20260421_121823_g1,33,17,Black,d8b6,Bishop,d8,b6,,100,8,475302,178426,213747,58361,612.614,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/7p/3K3P/6B1/8 w - - 25 17
20260421_121823_g1,34,17,White,g2f3,Bishop,g2,f3,,100,8,234497,78351,105999,35029,316.599,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k3/7p/3K1B1P/8/8 b - - 26 18
20260421_121823_g1,35,18,Black,e5d6,King,e5,d6,,100,8,627410,221138,294902,78193,789.312,MinimaxAB,Baseline_Evaluator,False,8/8/1bPk4/8/7p/3K1B1P/8/8 w - - 27 18
20260421_121823_g1,36,18,White,d3c3,King,d3,c3,,100,8,365693,114268,171267,58035,485.012,MinimaxAB,Baseline_Evaluator,False,8/8/1bPk4/8/7p/2K2B1P/8/8 b - - 28 19
20260421_121823_g1,37,19,Black,d6e6,King,d6,e6,,100,8,685066,177327,372901,97234,809.425,MinimaxAB,Baseline_Evaluator,False,8/8/1bP1k3/8/7p/2K2B1P/8/8 w - - 29 19
20260421_121823_g1,38,19,White,c3b4,King,c3,b4,,100,8,348013,101197,172173,54460,448.978,MinimaxAB,Baseline_Evaluator,False,8/8/1bP1k3/8/1K5p/5B1P/8/8 b - - 30 20
20260421_121823_g1,39,20,Black,e6f5,King,e6,f5,,100,8,755987,197011,416652,100853,878.861,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/5k2/1K5p/5B1P/8/8 w - - 31 20
20260421_121823_g1,40,20,White,f3h5,Bishop,f3,h5,,100,8,297837,86560,148379,45168,381.231,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/5k1B/1K5p/7P/8/8 b - - 32 21
20260421_121823_g1,41,21,Black,f5e5,King,f5,e5,,110,8,500529,180708,232957,59777,625.032,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k2B/1K5p/7P/8/8 w - - 33 21
20260421_121823_g1,42,21,White,b4c4,King,b4,c4,,100,8,316785,100631,146696,49711,429.947,MinimaxAB,Baseline_Evaluator,False,8/8/1bP5/4k2B/2K4p/7P/8/8 b - - 34 22
20260421_121823_g1,43,22,Black,e5d6,King,e5,d6,,100,8,537637,192203,248335,68286,690.804,MinimaxAB,Baseline_Evaluator,False,8/8/1bPk4/7B/2K4p/7P/8/8 w - - 35 22
20260421_121823_g1,44,22,White,h5f3,Bishop,h5,f3,,100,8,300197,98899,136639,46192,406.765,MinimaxAB,Baseline_Evaluator,False,8/8/1bPk4/8/2K4p/5B1P/8/8 b - - 36 23
