batch_id,game_id,game_number,timestamp_utc,engine_build,white_engine,black_engine,starting_fen,total_moves,ply,move_number,side_to_move,fen_before,move_uci,move_san,fen_after,piece_type,from_square,to_square,promotion,engine_name,search_algorithm,evaluation_version,depth,evaluation,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,best_move,principal_variation,quiescence_used,move_ordering_used,mobility_term,king_safety_term,used_opening_book,result,termination_reason,result_type
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,57,29,White,8/7B/2P5/b3k3/7p/3K3P/8/8 w - - 49 29,h7e4,,8/8/2P5/b3k3/4B2p/3K3P/8/8 b - - 50 29,Bishop,h7,e4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,224431,78029,95865,36220,322.502,h7e4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,58,29,Black,8/8/2P5/b3k3/4B2p/3K3P/8/8 b - - 50 29,e5d6,,8/8/2Pk4/b7/4B2p/3K3P/8/8 w - - 51 30,King,e5,d6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,417887,165794,180882,48879,545.128,e5d6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,59,30,White,8/8/2Pk4/b7/4B2p/3K3P/8/8 w - - 51 30,e4f3,,8/8/2Pk4/b7/7p/3K1B1P/8/8 b - - 52 30,Bishop,e4,f3,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,301883,98074,135357,49776,416.397,e4f3,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,60,30,Black,8/8/2Pk4/b7/7p/3K1B1P/8/8 b - - 52 30,a5d8,,3b4/8/2Pk4/8/7p/3K1B1P/8/8 w - - 53 31,Bishop,a5,d8,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,462700,133384,236585,66497,581.715,a5d8,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,61,31,White,3b4/8/2Pk4/8/7p/3K1B1P/8/8 w - - 53 31,d3c4,,3b4/8/2Pk4/8/2K4p/5B1P/8/8 b - - 54 31,King,d3,c4,,Baseline,MinimaxAB,Baseline_Evaluator,7,110,130636,48169,53827,20989,183.380,d3c4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,62,31,Black,3b4/8/2Pk4/8/2K4p/5B1P/8/8 b - - 54 31,d6e5,,3b4/8/2P5/4k3/2K4p/5B1P/8/8 w - - 55 32,King,d6,e5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,460483,140161,232569,61366,564.941,d6e5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,63,32,White,3b4/8/2P5/4k3/2K4p/5B1P/8/8 w - - 55 32,f3h5,,3b4/8/2P5/4k2B/2K4p/7P/8/8 b - - 56 32,Bishop,f3,h5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,369234,122627,164345,60079,519.947,f3h5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,64,32,Black,3b4/8/2P5/4k2B/2K4p/7P/8/8 b - - 56 32,d8b6,,8/8/1bP5/4k2B/2K4p/7P/8/8 w - - 57 33,Bishop,d8,b6,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,489368,176949,224089,61776,627.483,d8b6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,65,33,White,8/8/1bP5/4k2B/2K4p/7P/8/8 w - - 57 33,h5g6,,8/8/1bP3B1/4k3/2K4p/7P/8/8 b - - 58 33,Bishop,h5,g6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,343556,111333,155278,56011,486.797,h5g6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,66,33,Black,8/8/1bP3B1/4k3/2K4p/7P/8/8 b - - 58 33,b6c7,,8/2b5/2P3B1/4k3/2K4p/7P/8/8 w - - 59 34,Bishop,b6,c7,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,562408,199509,259089,73506,732.311,b6c7,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
